,2017,2018,2019,2020,2021,2022,2023
Iran,6005.051,4066.246,2908.918,2326.664,3409.826,4043.405,4233.986
Iraq,5178.921,5959.102,5945.438,4520.087,5011.973,6181.343,5882.894
Ireland,69864.671,79184.608,80613.712,85786.688,101983.636,103311.007,112247.706
Israel,40603.843,41834.032,43723.256,44320.723,51804.704,54336.836,53195.879
Italy,32648.756,34917.563,33628.161,31784.806,35717.376,34084.518,37146.233
Jamaica,5413.03,5729.757,5781.785,5072.599,5354.83,6197.798,6830.87
Japan,38903.298,39850.331,40547.967,40132.964,39933.008,33853.804,33949.714
Jordan,4257.908,4358.324,4411.72,4277.259,4399.645,4613.062,4850.663
Kazakhstan,9186.712,9749.07,9750.431,9062.958,10106.663,11409.464,12968.427
Kenya,1805.398,1987.302,2107.735,2067.987,2208.691,2245.284,2187.648
Kiribati,1649.251,1696.206,1492.126,1492.096,1877.594,1821.553,1968.028
"Korea, Republic of",31600.735,33447.155,31902.415,31728.306,35142.265,32418.338,33147.226
Kosovo,3991.249,4389.631,4432.996,4297.829,5324.305,5332.367,5912.079
Kuwait,26816.642,29905.292,28513.124,22682.901,28834.433,36092.393,32215.034
Kyrgyz Republic,1254.51,1321.954,1466.956,1270.961,1390.9,1717.714,1829.586
Lao P.D.R.,2437.127,2551.83,2602.623,2528.997,2495.962,2046.856,1878.708
Latvia,15626.275,17806.561,17889.752,18106.332,21014.99,21946.922,24929.18
Lebanon,7776.012,8003.824,7421.491,3588.705,3044.801,3283.414,no data
Lesotho,1199.628,1221.168,1159.368,1034.702,1219.043,1166.197,1110.179
Liberia,706.239,677.356,623.887,600.475,677.387,749.187,800.213
Libya,10413.81,11773.943,10532.114,7062.559,5249.501,5577.013,5872.222
Lithuania,16879.449,19195.06,19600.564,20347.624,23728.3,24988.686,28481.993
Luxembourg,111211.77,117993.371,113860.533,117616.151,134925.164,126598.103,135605.438
Macao SAR,77233.097,82835.778,81231.549,37270.798,44091.804,31539.494,54295.661
Madagascar,528.379,535.948,531.75,477.375,516.529,523.084,529.56
Malawi,466.559,501.113,543.685,567.59,580.967,567.454,579.701
Malaysia,9965.123,11079.617,11228.293,10400.219,11475.701,12465.612,13034.067
Maldives,13200.955,14479.839,15060.822,9892.116,14029.908,15962.494,17558.747
Mali,795.387,856.745,840.211,831.034,902.677,847.461,912.643
Malta,29284.984,32397.208,32405.729,29618.07,35069.223,34819.265,38715.185
Marshall Islands,4526.757,4831.339,5244.74,5465.255,5804.071,5839.966,6141.234
Mauritania,1758.542,1882.203,1987.267,2076.432,2332.898,2284.925,2337.914
Mauritius,10844.145,11642.891,11407.849,9005.348,9080.262,10227.044,11751.506
Mexico,9599.362,10024.115,10311.552,8770.022,10177.039,11265.544,13803.741
"Micronesia, Fed. States of",3522.106,3854.141,3979.627,3898.433,3873.938,4038.768,4357.639
Moldova,3422.643,4121.047,4376.654,4377.542,5293.206,5726.325,6410.925
Mongolia,3612.716,4078.182,4309.049,3965.097,4482.853,4953.553,5348.072
Montenegro,7800.27,8854.776,8911.273,7688.549,9433.03,9820.089,11338.801
Morocco,3401.256,3615.592,3622.679,3375.435,3905.428,3570.115,3979.871
Mozambique,461.415,504.536,508.164,454.063,501.507,581.038,647.135
Myanmar,1177.083,1271.677,1302.277,1527.434,1216.811,1227.697,1381.059
Namibia,5438.761,5666.273,5099.427,4225.729,4879.203,4854.445,4785.679
Nauru,8550.692,10582.207,10567.406,10346.097,11841.081,12088.572,11756.986
Nepal,1027.965,1161.534,1185.682,1139.192,1241.341,1354.066,1352.605
Netherlands,48799.874,53224.694,52672.504,52222.364,58960.71,57427.756,61769.702
