,yearmon,fatalities,country_name
16,2018-05,216,Bangladesh
17,2018-06,156,Bangladesh
18,2018-07,132,Bangladesh
19,2018-08,336,Bangladesh
20,2018-09,360,Bangladesh
21,2018-10,468,Bangladesh
22,2018-11,384,Bangladesh
23,2018-12,696,Bangladesh
24,2019-01,480,Bangladesh
25,2019-02,480,Bangladesh
26,2019-03,540,Bangladesh
27,2019-04,456,Bangladesh
28,2019-05,372,Bangladesh
29,2019-06,420,Bangladesh
30,2019-07,348,Bangladesh
31,2019-08,420,Bangladesh
32,2019-09,360,Bangladesh
33,2019-10,228,Bangladesh
34,2019-11,348,Bangladesh
35,2019-12,240,Bangladesh
36,2020-01,324,Bangladesh
37,2020-02,312,Bangladesh
38,2020-03,300,Bangladesh
39,2020-04,228,Bangladesh
40,2020-05,252,Bangladesh
41,2020-06,372,Bangladesh
42,2020-07,312,Bangladesh
43,2020-08,252,Bangladesh
44,2020-09,276,Bangladesh
45,2020-10,360,Bangladesh
46,2020-11,180,Bangladesh
47,2020-12,168,Bangladesh
48,2021-01,264,Bangladesh
49,2021-02,216,Bangladesh
50,2021-03,612,Bangladesh
51,2021-04,528,Bangladesh
52,2021-05,336,Bangladesh
53,2021-06,264,Bangladesh
54,2021-07,192,Bangladesh
55,2021-08,144,Bangladesh
56,2021-09,204,Bangladesh
57,2021-10,516,Bangladesh
58,2021-11,720,Bangladesh
59,2021-12,312,Bangladesh
60,2022-01,516,Bangladesh
61,2022-02,288,Bangladesh
62,2022-03,300,Bangladesh
63,2022-04,288,Bangladesh
64,2022-05,240,Bangladesh
65,2022-06,252,Bangladesh
66,2022-07,264,Bangladesh
67,2022-08,180,Bangladesh
68,2022-09,396,Bangladesh
69,2022-10,348,Bangladesh
70,2022-11,372,Bangladesh
71,2022-12,264,Bangladesh
72,2023-01,276,Bangladesh
73,2023-02,252,Bangladesh
74,2023-03,312,Bangladesh
75,2023-04,456,Bangladesh
76,2023-05,312,Bangladesh
77,2023-06,276,Bangladesh
78,2023-07,396,Bangladesh
79,2023-08,252,Bangladesh
80,2023-09,324,Bangladesh
81,2023-10,396,Bangladesh
82,2023-11,336,Bangladesh
83,2023-12,456,Bangladesh
0,2017-01,384,Burundi
1,2017-02,216,Burundi
2,2017-03,276,Burundi
3,2017-04,300,Burundi
4,2017-05,360,Burundi
5,2017-06,396,Burundi
6,2017-07,408,Burundi
7,2017-08,360,Burundi
8,2017-09,168,Burundi
9,2017-10,240,Burundi
10,2017-11,180,Burundi
11,2017-12,132,Burundi
12,2018-01,312,Burundi
13,2018-02,312,Burundi
14,2018-03,108,Burundi
15,2018-04,456,Burundi
16,2018-05,660,Burundi
17,2018-06,372,Burundi
18,2018-07,276,Burundi
19,2018-08,348,Burundi
20,2018-09,144,Burundi
21,2018-10,276,Burundi
22,2018-11,420,Burundi
23,2018-12,240,Burundi
24,2019-01,360,Burundi
25,2019-02,252,Burundi
26,2019-03,228,Burundi
27,2019-04,324,Burundi
28,2019-05,168,Burundi
29,2019-06,180,Burundi
30,2019-07,288,Burundi
31,2019-08,372,Burundi
32,2019-09,168,Burundi
33,2019-10,456,Burundi
34,2019-11,780,Burundi
35,2019-12,84,Burundi
36,2020-01,72,Burundi
37,2020-02,396,Burundi
38,2020-03,156,Burundi
39,2020-04,168,Burundi
40,2020-05,240,Burundi
41,2020-06,288,Burundi
42,2020-07,276,Burundi
43,2020-08,1116,Burundi
44,2020-09,552,Burundi
45,2020-10,336,Burundi
46,2020-11,192,Burundi
47,2020-12,168,Burundi
48,2021-01,336,Burundi
49,2021-02,192,Burundi
50,2021-03,108,Burundi
51,2021-04,276,Burundi
52,2021-05,492,Burundi
53,2021-06,588,Burundi
54,2021-07,180,Burundi
55,2021-08,96,Burundi
56,2021-09,432,Burundi
57,2021-10,312,Burundi
58,2021-11,276,Burundi
59,2021-12,372,Burundi
60,2022-01,216,Burundi
61,2022-02,384,Burundi
62,2022-03,120,Burundi
63,2022-04,312,Burundi
